onset	duration	trial_type	image_type	Press	ReactionTime	ReactionTime_Interpolated	CorrectOmission	CorrectCommission	CommissionError	OmissionError	response_type	nonsmoothVarianceTimeCourse	VarianceTimeCourse	In_the_Zone
236.817032	0.795495	city	5	1	0.307195	0.307195	0	1	0	0	CorrectCommission	1.370870	1.198319	0
237.612686	0.795823	city	6	1	1.063961	1.063961	0	1	0	0	CorrectCommission	1.901662	1.185590	0
238.408463	0.795739	city	5	1	1.096303	1.096303	0	1	0	0	CorrectCommission	2.041520	1.170366	0
239.204269	0.795856	city	1	1	0.949467	0.949467	0	1	0	0	CorrectCommission	1.406549	1.155344	0
240.000061	0.795751	city	4	1	0.850437	0.850437	0	1	0	0	CorrectCommission	0.978304	1.143642	0
240.796005	0.796140	city	6	1	0.797836	0.797836	0	1	0	0	CorrectCommission	0.750838	1.138404	0
241.591843	0.795516	city	1	1	0.602138	0.602138	0	1	0	0	CorrectCommission	0.095431	1.142347	0
242.387497	0.795791	city	9	1	0.549119	0.549119	0	1	0	0	CorrectCommission	0.324701	1.157397	0
243.183304	0.795821	city	5	1	0.468798	0.468798	0	1	0	0	CorrectCommission	0.672040	1.184306	0
243.979095	0.795787	city	10	1	0.413922	0.413922	0	1	0	0	CorrectCommission	0.909342	1.222481	0
244.774902	0.795798	city	6	1	0.400123	0.400123	0	1	0	0	CorrectCommission	0.969015	1.269948	0
245.570847	0.796110	city	5	1	0.350562	0.350562	0	1	0	0	CorrectCommission	1.183334	1.323518	0
246.366623	0.795444	city	2	1	1.046644	1.046644	0	1	0	0	CorrectCommission	1.826778	1.379113	0
247.162277	0.795848	city	10	1	0.962030	0.962030	0	1	0	0	CorrectCommission	1.460874	1.432141	0
247.958145	0.795903	city	6	1	1.046736	1.046736	0	1	0	0	CorrectCommission	1.827172	1.478107	0
248.753922	0.795646	city	3	1	1.118046	1.118046	0	1	0	0	CorrectCommission	2.135546	1.513031	0
249.549667	0.795833	city	1	1	1.098935	1.098935	0	1	0	0	CorrectCommission	2.052899	1.533902	0
250.345505	0.795848	city	5	1	1.103694	1.103694	0	1	0	0	CorrectCommission	2.073481	1.539015	0
251.141464	0.796086	city	8	1	1.099245	1.099245	0	1	0	0	CorrectCommission	2.054243	1.528113	0
251.937225	0.795434	city	6	1	1.049129	1.049129	0	1	0	0	CorrectCommission	1.837520	1.502381	0
252.732880	0.795868	city	8	1	1.004649	1.004649	0	1	0	0	CorrectCommission	1.645172	1.464250	0
253.528870	0.796096	city	7	1	1.046523	1.046523	0	1	0	0	CorrectCommission	1.826253	1.417070	0
